iter	Passed	Remaining
315	5311	3092
316	5326	3074
317	5341	3057
318	5357	3039
319	5373	3022
320	5389	3005
321	5405	2988
322	5421	2970
323	5438	2953
324	5454	2937
325	5470	2919
326	5486	2902
327	5502	2885
328	5518	2868
329	5534	2850
330	5550	2834
331	5566	2816
332	5586	2801
333	5606	2786
334	5628	2772
335	5653	2759
336	5674	2744
337	5695	2729
338	5715	2714
339	5737	2699
340	5761	2686
341	5787	2673
342	5807	2658
343	5828	2643
344	5857	2631
345	5880	2617
346	5904	2603
347	5930	2590
348	5953	2575
349	5976	2561
350	6055	2570
351	6143	2583
352	6175	2571
353	6196	2555
354	6238	2548
355	6259	2532
356	6284	2517
357	6309	2502
358	6331	2486
359	6355	2471
360	6381	2457
361	6409	2443
362	6433	2428
363	6461	2414
364	6483	2398
365	6506	2382
366	6530	2366
367	6557	2352
368	6579	2335
369	6609	2322
370	6635	2307
371	6664	2293
372	6694	2279
373	6720	2264
374	6746	2248
375	6774	2234
376	6803	2219
377	6832	2205
378	6863	2191
379	6887	2175
380	6914	2159
381	6939	2143
382	6961	2126
383	6978	2107
384	6998	2090
385	7018	2072
386	7037	2054
387	7058	2037
388	7077	2019
389	7100	2002
390	7129	1987
391	7149	1969
392	7175	1953
393	7196	1936
394	7213	1917
395	7232	1899
396	7252	1881
397	7272	1863
398	7298	1847
399	7321	1830
400	7339	1811
401	7362	1794
402	7389	1778
403	7420	1763
404	7446	1746
405	7467	1728
406	7490	1711
407	7517	1695
408	7536	1676
409	7564	1660
410	7588	1643
411	7606	1624
412	7625	1606
413	7648	1588
414	7669	1570
415	7687	1552
416	7714	1535
417	7738	1518
418	7765	1501
419	7785	1482
420	7807	1465
421	7831	1447
422	7849	1428
423	7866	1410
424	7886	1391
425	7910	1374
426	7929	1355
427	7947	1336
428	7965	1318
429	7985	1299
430	8012	1282
431	8033	1264
432	8057	1246
433	8080	1228
434	8100	1210
435	8126	1192
436	8146	1174
437	8170	1156
438	8199	1139
439	8222	1121
440	8247	1103
441	8272	1085
442	8293	1067
443	8316	1048
444	8334	1030
445	8357	1011
446	8383	994
447	8400	975
448	8418	956
449	8440	937
450	8459	919
451	8483	900
452	8504	882
453	8526	863
454	8551	845
455	8574	827
456	8598	809
457	8618	790
458	8640	771
459	8664	753
460	8686	734
461	8710	716
462	8733	697
463	8757	679
464	8781	660
465	8805	642
466	8828	623
467	8850	605
468	8870	586
469	8891	567
470	8909	548
471	8929	529
472	8951	510
473	8974	492
474	8994	473
475	9014	454
476	9032	435
477	9056	416
478	9073	397
479	9091	378
480	9112	359
481	9133	341
482	9153	322
483	9176	303
484	9194	284
485	9215	265
486	9240	246
487	9261	227
488	9285	208
489	9305	189
490	9329	171
491	9353	152
492	9373	133
493	9393	114
494	9415	95
495	9434	76
496	9455	57
497	9477	38
498	9503	19
499	9526	0
