iter	MultiClass
0	1.118642499
1	0.9420189774
2	0.8028968797
3	0.69706897
4	0.6137475261
5	0.5402050718
6	0.4822910192
7	0.4272595203
8	0.3792719164
9	0.3377447553
10	0.3024544225
11	0.2715725097
12	0.2429561236
13	0.2190605165
14	0.1974615535
15	0.1789438427
16	0.1618936118
17	0.146579858
18	0.1331216072
19	0.1207348984
20	0.1094687273
21	0.09948453273
22	0.09038890855
23	0.0826889369
24	0.07584327677
25	0.06949443166
26	0.06349064645
27	0.05808363315
28	0.05320836374
29	0.04876813723
30	0.04496468073
31	0.04156324709
32	0.03845916746
33	0.0355331189
34	0.03301469817
35	0.0307085424
36	0.02867801731
37	0.02678351316
38	0.02499740537
39	0.02335729297
40	0.02179093384
41	0.02035588183
42	0.01910490168
43	0.018260039
44	0.01752268179
45	0.0165291777
46	0.01572493222
47	0.01490044808
48	0.01408327719
49	0.01341309125
50	0.0128613786
51	0.0123999092
52	0.01185745379
53	0.01136893569
54	0.01105911313
55	0.01062220769
56	0.0103996982
57	0.01013279528
58	0.01002330698
59	0.009621885046
60	0.009374446855
61	0.009132215359
62	0.008962754969
63	0.008756450086
64	0.008623449506
65	0.008345948157
66	0.008162180194
67	0.00793558548
68	0.007779742456
69	0.007659543405
70	0.007527353419
71	0.007469955509
72	0.007318678263
73	0.007205119192
74	0.007024873894
75	0.006877904422
76	0.006811816676
77	0.006673468978
78	0.006625519271
79	0.006488924836
80	0.006445837754
81	0.006305546397
82	0.006216603604
83	0.006049601657
84	0.005988746033
85	0.005920349008
86	0.00577679235
87	0.005734788064
88	0.005619583224
89	0.005558856594
90	0.005533838589
91	0.005511773985
92	0.005425061194
93	0.005349553673
94	0.005232708465
95	0.005156360423
96	0.005132233038
97	0.005071771204
98	0.00505888119
99	0.005023646413
100	0.00495770218
101	0.004897300911
102	0.004872587874
103	0.004832465324
104	0.00477413561
105	0.004703001633
106	0.004685302494
107	0.004586817065
108	0.004564543084
109	0.004450764809
110	0.004344945833
111	0.004284885864
112	0.004265904929
113	0.004204148414
114	0.004162381289
115	0.004089164665
116	0.004062614217
117	0.00401881868
118	0.004002740031
119	0.003967760359
120	0.003931714593
121	0.003923528015
122	0.003873341963
123	0.003854368344
124	0.003831986062
125	0.003775941064
126	0.003761284618
127	0.003708903432
128	0.003662490459
129	0.003636393127
130	0.00361704271
131	0.003569492146
132	0.003539447577
133	0.003474929765
134	0.003448152761
135	0.003421645306
136	0.003408763986
137	0.003402194418
138	0.003390581163
139	0.003359184125
140	0.003351236335
141	0.003340782782
142	0.003330464112
143	0.003271406679
144	0.003242963697
145	0.003215135572
146	0.00320701691
147	0.0031824942
148	0.003171679918
149	0.003165516646
150	0.003139110448
151	0.003117647878
152	0.003107631332
153	0.003101798537
154	0.003092049316
155	0.003086933942
156	0.003054434668
157	0.00304398075
158	0.003023736063
159	0.003010998459
160	0.002985521286
161	0.002974986954
162	0.002954287371
163	0.002925922668
164	0.002898317398
165	0.002883163127
166	0.002851770508
167	0.002845105098
168	0.002838689788
169	0.002831469086
